,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
956,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 46저2848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214691&gubun=K,2015.04 (16년형),"135,342 km",가솔린,"3,342 cc (282마력)",흰색,불가,"2,290만원",준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
957,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 356부7571,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213441&gubun=K,2016.05,"98,140 km",가솔린,"3,342 cc (282마력)",검정색,불가,"1,830만원",준비중,유,유,유,유,유,유,무,유,무,유,등록,5,0,0,0,0,8,"8,823,266",1,"385,888"
958,현대 제네시스 쿠페 2.0 터보  P,차량번호 69루1226,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216194&gubun=K,2009.03,"143,764 km",가솔린,"1,998 cc (210마력)",흰색,만료,390만원,14,,,,,,,,,,,등록,3,0,0,0,0,5,"3,784,010",2,"697,628"
959,현대 제네시스 DH G330 AWD 모던,차량번호 26서9139,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213539&gubun=K,2014.06 (15년형),"124,855 km",가솔린,"3,342 cc (282마력)",회색,만료,"1,099만원",22,무,무,유,유,무,유,무,유,무,유,등록,3,0,0,0,0,2,"13,930,585",4,"1,266,046"
960,현대 제네시스 DH G330 AWD 프리미엄,차량번호 333저1874,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210460&gubun=K,2015.03 (16년형),"98,905 km",가솔린,"3,342 cc (282마력)",회색,만료,"1,360만원",준비중,무,무,유,유,무,유,무,유,무,유,등록,4,0,0,0,0,2,"32,243,980",0,0
961,현대 제네시스 DH G330  모던,차량번호 29조1092,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2206896&gubun=K,2015.01,"164,150 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,180만원",25,유,유,유,유,유,유,무,유,무,유,등록,5,0,0,0,0,8,"10,483,966",11,"10,208,965"
962,현대 제네시스 쿠페 2.0 터보  RW,차량번호 56버5256,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216718&gubun=K,2010.01,"104,000 km",가솔린,"1,998 cc (210마력)",검정색,만료,580만원,18,,,,,,,,,,,등록,,,,,,,,,
963,현대 제네시스 DH G330 AWD 모던,차량번호 137머3249,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211168&gubun=K,2016.01,"1,100,000 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,690만원",35,무,유,무,무,무,무,무,무,무,무,등록,2,0,0,0,0,4,"3,816,814",1,"933,060"
964,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 395모3011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163709&gubun=K,2014.02,"145,582 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,090만원",29,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
965,현대 제네시스  BH330 프리미엄   ,차량번호 39버2346,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213594&gubun=K,2012.10 (13년형),"222,911 km",가솔린,"3,342 cc (300마력)",검정색,불가,890만원,17,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
966,현대 더 뉴 제네시스 쿠페  2.0 터보 S   ,차량번호 174수8910,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213680&gubun=K,2014.07 (15년형),"157,997 km",가솔린,"1,998 cc (275마력)",빨간색,불가,"1,290만원",41,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
967,현대 제네시스 DH  G380 AWD 프레스티지   ,차량번호 57루9372,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217067&gubun=K,2015.07 (16년형),"175,671 km",가솔린,"3,778 cc (315마력)",검정색,불가,"1,790만원",28,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
968,현대 제네시스 DH G330 모던,차량번호 03더0272,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214675&gubun=K,2015.12 (16년형),"58,646 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,750만원",37,,,,,,,,,,,등록,4,0,0,0,0,3,"4,301,895",0,0
969,현대 제네시스 DH G330 AWD  모던,차량번호 23누0390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214103&gubun=K,2016.05,"151,166 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,399만원",29,유,유,무,무,무,무,무,무,무,무,등록,4,0,0,0,0,2,"1,703,339",0,0
970,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 11다8595,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216860&gubun=K,2014.05 (15년형),"123,931 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,090만원",29,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
971,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 160머7404,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215742&gubun=K,2015.09 (16년형),"137,926 km",가솔린,"3,342 cc (282마력)",흰색,불가,"2,250만원",준비중,유,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
972,현대 제네시스 쿠페 2.0 터보 P,차량번호 69조4835,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215123&gubun=K,2009.06 (10년형),"138,342 km",가솔린,"1,998 cc (210마력)",진회색,만료,450만원,17,유,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,3,"2,217,914",0,0
973,현대 제네시스 BH330  럭셔리,차량번호 112무4884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217235&gubun=K,2011.04 (12년형),"213,927 km",가솔린,"3,342 cc (300마력)",흰색,만료,699만원,14,유,무,무,유,유,유,무,유,무,무,등록,0,0,0,0,0,8,"5,433,531",1,"800,000"
974,현대 제네시스  BH330 프리미엄 다이나믹 에디션   ,차량번호 53수7294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208736&gubun=K,2013.06 (14년형),"142,620 km",가솔린,"3,342 cc (300마력)",진주색,불가,"1,190만원",23,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
975,현대 제네시스  BH380 로얄 VIP 팩   ,차량번호 45러1713,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215944&gubun=K,2008.02,"259,000 km",가솔린,"3,778 cc (290마력)",검정색,불가,690만원,11,유,무,유,유,무,유,무,유,무,무,미등록,,,,,,,,,
976,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 46저2848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214691&gubun=K,2015.04 (16년형),"135,342 km",가솔린,"3,342 cc (282마력)",흰색,불가,"2,290만원",준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
977,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 356부7571,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213441&gubun=K,2016.05,"98,140 km",가솔린,"3,342 cc (282마력)",검정색,불가,"1,830만원",준비중,유,유,유,유,유,유,무,유,무,유,등록,5,0,0,0,0,8,"8,823,266",1,"385,888"
978,현대 제네시스 쿠페 2.0 터보  P,차량번호 69루1226,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216194&gubun=K,2009.03,"143,764 km",가솔린,"1,998 cc (210마력)",흰색,만료,390만원,14,,,,,,,,,,,등록,3,0,0,0,0,5,"3,784,010",2,"697,628"
979,현대 제네시스 DH G330 AWD 모던,차량번호 26서9139,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213539&gubun=K,2014.06 (15년형),"124,855 km",가솔린,"3,342 cc (282마력)",회색,만료,"1,099만원",22,무,무,유,유,무,유,무,유,무,유,등록,3,0,0,0,0,2,"13,930,585",4,"1,266,046"
980,현대 제네시스 DH G330 AWD 프리미엄,차량번호 333저1874,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210460&gubun=K,2015.03 (16년형),"98,905 km",가솔린,"3,342 cc (282마력)",회색,만료,"1,360만원",준비중,무,무,유,유,무,유,무,유,무,유,등록,4,0,0,0,0,2,"32,243,980",0,0
981,현대 제네시스 DH G330  모던,차량번호 29조1092,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2206896&gubun=K,2015.01,"164,150 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,180만원",25,유,유,유,유,유,유,무,유,무,유,등록,5,0,0,0,0,8,"10,483,966",11,"10,208,965"
982,현대 제네시스 쿠페 2.0 터보  RW,차량번호 56버5256,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216718&gubun=K,2010.01,"104,000 km",가솔린,"1,998 cc (210마력)",검정색,만료,580만원,18,,,,,,,,,,,등록,,,,,,,,,
983,현대 제네시스 DH G330 AWD 모던,차량번호 137머3249,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211168&gubun=K,2016.01,"1,100,000 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,690만원",35,무,유,무,무,무,무,무,무,무,무,등록,2,0,0,0,0,4,"3,816,814",1,"933,060"
984,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 395모3011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163709&gubun=K,2014.02,"145,582 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,090만원",29,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
985,현대 제네시스  BH330 프리미엄   ,차량번호 39버2346,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213594&gubun=K,2012.10 (13년형),"222,911 km",가솔린,"3,342 cc (300마력)",검정색,불가,890만원,17,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
986,현대 더 뉴 제네시스 쿠페  2.0 터보 S   ,차량번호 174수8910,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213680&gubun=K,2014.07 (15년형),"157,997 km",가솔린,"1,998 cc (275마력)",빨간색,불가,"1,290만원",41,유,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
987,현대 제네시스 DH  G380 AWD 프레스티지   ,차량번호 57루9372,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217067&gubun=K,2015.07 (16년형),"175,671 km",가솔린,"3,778 cc (315마력)",검정색,불가,"1,790만원",28,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
988,현대 제네시스 DH G330 모던,차량번호 03더0272,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214675&gubun=K,2015.12 (16년형),"58,646 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,750만원",37,,,,,,,,,,,등록,4,0,0,0,0,3,"4,301,895",0,0
989,현대 제네시스 DH G330 AWD  모던,차량번호 23누0390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214103&gubun=K,2016.05,"151,166 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,399만원",29,유,유,무,무,무,무,무,무,무,무,등록,4,0,0,0,0,2,"1,703,339",0,0
990,현대 더 뉴 제네시스 쿠페  3.8 GT R   ,차량번호 20마5458,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202040&gubun=K,2014.08 (15년형),"159,354 km",가솔린,"3,778 cc (350마력)",검정색,불가,"1,180만원",33,무,무,유,무,유,유,무,유,무,유,등록,7,0,0,0,0,2,"1,007,076",3,"2,690,283"
991,현대 더 뉴 제네시스 쿠페  3.8 GT R   ,차량번호 54서6454,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212648&gubun=K,2013.05 (14년형),"116,131 km",가솔린,"3,778 cc (350마력)",빨간색,불가,"1,280만원",35,유,무,유,무,유,유,무,유,무,유,등록,9,0,0,0,0,2,"797,000",0,0
992,현대 제네시스  BH380 럭셔리   ,차량번호 12노1917,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214895&gubun=K,2009.09 (10년형),"241,994 km",가솔린,"3,778 cc (290마력)",검정색,불가,490만원,10,무,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,4,"1,979,316",3,"2,418,779"
993,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 58로2674,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208757&gubun=K,2015.03 (16년형),"167,000 km",가솔린,"3,342 cc (282마력)",은색,불가,"1,490만원",준비중,유,유,유,유,유,유,무,유,무,유,등록,,,,,,,,,
994,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 25우0574,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213848&gubun=K,2016.01,"135,000 km",가솔린,"3,342 cc (282마력)",검정색,불가,"1,790만원",준비중,유,유,유,유,유,유,무,유,무,유,등록,,,,,,,,,
995,현대 제네시스  BH380 프레스티지 스페셜   ,차량번호 21마0416,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214349&gubun=K,2013.06 (14년형),"150,000 km",가솔린,"3,778 cc (334마력)",진회색,불가,"1,190만원",18,유,무,유,유,유,유,유,유,무,유,등록,,,,,,,,,
996,현대 제네시스  BH380 프레스티지 스페셜   ,차량번호 33다4247,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216210&gubun=K,2013.01,"186,000 km",가솔린,"3,778 cc (334마력)",검정색,불가,"1,090만원",17,유,무,유,유,유,유,유,유,무,유,등록,,,,,,,,,
997,현대 제네시스 BH330 그랜드 프라임팩,차량번호 57조7968,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214771&gubun=K,2012.06 (13년형),"210,000 km",가솔린,"3,342 cc (300마력)",검정색,불가,550만원,11,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
998,현대 제네시스 쿠페  3.8 GT R   ,차량번호 67구3088,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182875&gubun=K,2010.03,"146,764 km",가솔린,"3,778 cc (303마력)",빨간색,불가,"1,080만원",31,유,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
999,현대 제네시스 쿠페 2.0 터보  R,차량번호 198서6761,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216979&gubun=K,2009.03,"180,000 km",가솔린,"1,998 cc (210마력)",기타색상,만료,500만원,16,무,무,유,유,무,유,무,유,무,무,등록,,,,,,,,,
1000,현대 제네시스 쿠페 2.0 터보 P,차량번호 39라3818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216857&gubun=K,2009.01,"118,000 km",가솔린,"1,998 cc (210마력)",회색,불가,900만원,34,유,무,유,무,무,무,무,유,무,무,등록,,,,,,,,,
1001,현대 제네시스 DH G330 AWD  프리미엄,차량번호 50부7634,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216764&gubun=K,2014.01,"118,054 km",가솔린,"3,342 cc (282마력)",흰색,만료,"1,710만원",준비중,유,무,유,유,유,유,무,유,무,유,등록,6,0,0,0,0,3,"2,402,420",1,"1,492,310"
1002,현대 제네시스 쿠페  2.0 터보 RW  ,차량번호 303우2047,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213111&gubun=K,2011.03,"153,000 km",가솔린,"1,998 cc (210마력)",흰색,만료,520만원,16,유,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
1003,현대 제네시스 쿠페 2.0 터보  P,차량번호 12가1133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216746&gubun=K,2008.12 (09년형),"166,235 km",가솔린,"1,998 cc (210마력)",검정색,만료,290만원,10,,,,,,,,,,,등록,6,0,0,0,0,13,"10,054,242",1,"294,000"
1004,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 22누2021,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213994&gubun=K,2015.04 (16년형),"108,000 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,490만원",34,,,,,,,,,,,미등록,,,,,,,,,
1005,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 46두0981,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215754&gubun=K,2014.01,"169,000 km",가솔린,"3,342 cc (282마력)",검정색,불가,"2,090만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
1006,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 281고7195,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214587&gubun=K,2015.11 (16년형),"99,000 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,490만원",34,,,,,,,,,,,미등록,,,,,,,,,
1007,현대 제네시스 DH G330 AWD  모던,차량번호 46보1289,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216346&gubun=K,2015.04 (16년형),"234,048 km",가솔린,"3,342 cc (282마력)",검정색,만료,990만원,20,,,,,,,,,,,등록,1,0,0,0,0,9,"7,068,430",6,"4,790,023"
1008,현대 제네시스 DH G380 AWD  익스클루시브,차량번호 18서3345,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216347&gubun=K,2014.02,"114,032 km",가솔린,"3,778 cc (315마력)",진회색,만료,"1,030만원",17,유,무,유,유,유,유,무,유,유,유,등록,2,0,0,0,0,7,"32,554,533",2,"8,582,360"
1009,현대 제네시스  BH380 로얄 VIP 팩  ,차량번호 09두5967,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203855&gubun=K,2008.03,"290,000 km",가솔린,"3,778 cc (290마력)",진주색,불가,539만원,8,유,무,유,유,유,유,유,유,무,유,미등록,,,,,,,,,
1010,현대 더 뉴 제네시스 쿠페 3.8 GT R,차량번호 33로7626,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214166&gubun=K,2013.04,"125,197 km",가솔린,"3,778 cc (350마력)",검정색,불가,"1,350만원",38,유,무,유,무,유,유,무,유,무,유,등록,,,,,,,,,
1011,현대 제네시스 쿠페 2.0 터보  P,차량번호 53마8390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215788&gubun=K,2009.07 (10년형),"138,000 km",가솔린,"1,998 cc (210마력)",진회색,만료,500만원,18,유,무,무,무,유,유,무,유,무,무,등록,,,,,,,,,
1012,현대 제네시스 DH G330 모던,차량번호 264버8510,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214973&gubun=K,2015.01,"147,000 km",가솔린,"3,342 cc (282마력)",검정색,불가,"1,600만원",34,유,유,유,유,유,유,무,유,무,유,등록,,,,,,,,,
1013,현대 제네시스  BH330 럭셔리   ,차량번호 30보1359,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205314&gubun=K,2009.07 (10년형),"170,521 km",가솔린,"3,342 cc (262마력)",검정색,불가,930만원,준비중,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
1014,현대 제네시스 DH G380 AWD 프레스티지,차량번호 38가9243,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214978&gubun=K,2015.07 (16년형),"180,000 km",가솔린,"3,778 cc (315마력)",진회색,불가,"2,800만원",44,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1015,현대 제네시스 BH330  그랜드,차량번호 32머0102,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214719&gubun=K,2008.03,"417,300 km",가솔린,"3,342 cc (262마력)",빨간색,만료,250만원,6,유,무,무,유,유,유,무,유,무,무,등록,,,,,,,,,
1016,현대 제네시스 쿠페 2.0 터보 P,차량번호 378저1981,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214718&gubun=K,2009.04,"200,000 km",가솔린,"1,998 cc (210마력)",파란색,불가,"1,000만원",37,유,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
1017,현대 제네시스  BH330 럭셔리   ,차량번호 378노5101,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214540&gubun=K,2011.07 (12년형),"109,260 km",가솔린,"3,342 cc (300마력)",검정색,불가,[계약],22,유,무,유,유,유,유,무,유,무,무,미등록,,,,,,,,,
1018,현대 제네시스 쿠페 2.0 터보 P,차량번호 386마8194,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214525&gubun=K,2009.07,"184,000 km",가솔린,"1,998 cc (210마력)",흰색,불가,820만원,31,유,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
1019,현대 더 뉴 제네시스 쿠페  2.0 터보 S   ,차량번호 31부8762,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214260&gubun=K,2012.10 (13년형),"135,000 km",가솔린,"1,998 cc (275마력)",흰색,불가,"1,190만원",40,유,무,유,무,무,유,무,무,무,유,미등록,,,,,,,,,
1020,현대 제네시스 쿠페  2.0 터보 P   ,차량번호 48라3139,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213795&gubun=K,2008.10 (09년형),"134,000 km",가솔린,"1,998 cc (210마력)",흰색,불가,820만원,31,유,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
1021,현대 제네시스 쿠페  3.8 GT RW   ,차량번호 206나4702,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213678&gubun=K,2009.05 (10년형),"162,000 km",가솔린,"3,778 cc (303마력)",검정색,불가,"1,120만원",32,유,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
1022,현대 제네시스 쿠페  2.0 터보 P   ,차량번호 351마6578,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213677&gubun=K,2008.11 (09년형),"139,000 km",가솔린,"1,998 cc (210마력)",진회색 (메트 블랙),불가,790만원,29,유,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
